id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
381284.0,en,Hidden Figures,49.802,2016-12-10,8.1,7310.0,"['Drama', 'History']","The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",230698791.0,127.0,"Meet the women you don't know, behind the mission you do."
356334.0,en,Gridlocked,9.801,2016-06-14,5.8,130.0,['Action'],Former SWAT leader David Hendrix and hard-partying movie star Brody Walker must cut their ride-along short when a police training facility is attacked by a team of mercenaries.,0.0,114.0,Only one way out…
475557.0,en,Joker,116.462,2019-10-02,8.2,18970.0,"['Crime', 'Thriller', 'Drama']","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",1074251311.0,122.0,Put on a happy face.
347847.0,en,The Sand,14.172,2015-08-28,5.1,157.0,['Horror'],"Just when you thought it was safe to go back in the water again, you can’t even get across the sand! BLOOD BEACH meets SPRING BREAKERS in an ace monster mash-up of smart nostalgia and up-to-the-minute visual effects. After an all-night graduation beach party, a group of hung-over students wake up under blazing sun to find their numbers somewhat depleted. An enormous alien creature has burrowed down deep and anyone foolish enough to make contact with the sand finds themselves at the mercy of a sea of flesh-eating tentacles. Will they ever be able to escape its carnivorous clutches?",0.0,84.0,This Beach is Killer
739542.0,en,America: The Motion Picture,98.542,2021-06-30,5.8,130.0,"['Action', 'Comedy', 'History', 'Animation', 'Fantasy']",A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,0.0,98.0,This summer they're redrawing history.
505262.0,ja,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,220.805,2018-08-03,8.0,677.0,"['Animation', 'Action', 'Adventure', 'Fantasy']","All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I-Island', where they research quirks as well as hero supplemental items at the special 'I-Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",31478826.0,96.0,Who is your hero?
3512.0,en,Under Siege 2: Dark Territory,19.217,1995-07-13,5.7,608.0,"['Action', 'Thriller']","A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",104324083.0,100.0,Last time he rocked the boat. This time the sky's the limit.
10649.0,en,The Enforcer,14.938,1976-12-20,6.9,599.0,"['Action', 'Crime', 'Thriller']","Dirty Harry Callahan returns again, this time saddled with a rookie female partner. Together, they must stop a terrorist group consisting of angry Vietnam veterans.",46236000.0,96.0,The dirtiest Harry of them all.
103332.0,en,Ruby Sparks,14.75,2012-07-25,7.1,1249.0,"['Comedy', 'Romance', 'Fantasy', 'Drama']","Calvin is a young novelist who achieved phenomenal success early in his career but is now struggling with his writing – as well as his romantic life. Finally, he makes a breakthrough and creates a character named Ruby who inspires him. When Calvin finds Ruby, in the flesh, sitting on his couch about a week later, he is completely flabbergasted that his words have turned into a living, breathing person.",9128263.0,104.0,She's Out Of His Mind
180296.0,en,They Came Together,9.29,2014-06-27,5.6,306.0,['Comedy'],A small business owner is about to lose her shop to a major corporate development.,0.0,83.0,He came...She came...They both came
20815.0,en,The Handmaid's Tale,8.86,1990-02-15,6.0,149.0,"['Drama', 'Science Fiction']","In a dystopicly polluted rightwing religious tyranny, a young woman is put in sexual slavery on account of her now rare fertility.",0.0,108.0,A haunting tale of sexuality in a country gone wrong.
643.0,ru,Броненосец Потёмкин,8.956,1925-12-24,7.7,800.0,"['Drama', 'History']","A dramatized account of a great Russian naval mutiny and a resultant public demonstration, showing support, which brought on a police massacre. The film had an incredible impact on the development of cinema and is a masterful example of montage editing.",45100.0,75.0,"Revolution is the only lawful, equal, effectual war. It was in Russia that this war was declared and begun."
9798.0,en,Enemy of the State,26.671,1998-11-20,7.0,2912.0,"['Action', 'Drama', 'Thriller']","A hotshot Washington criminal lawyer becomes the target of a rogue security executive videotaped in the act of murdering a congressman when the incriminating tape is surreptitiously slipped into his shopping bag by the videographer, who is fleeing the executive's assassins.",250649836.0,132.0,It's not paranoia if they're really after you.
17314.0,en,Pistol Whipped,9.805,2008-03-04,5.2,74.0,"['Action', 'Thriller', 'Crime', 'Drama']","Steven Seagal stars in this gritty, no-holds barred action film as an elite ex-cop with a gambling problem and a mountain of debt. When a mysterious man offers to clear his debts in exchange for the assassination of the city's most notorious gangsters, he make s decision that will change his life - forever.",0.0,96.0,They came to collect a debt... He paid in full.
390845.0,ko,맛있는 비행,11.386,2015-11-01,4.1,52.0,['Romance'],"An innocent actress runs away from the scandal with an idol, the impudent idol that ruined her career, a passionate manager who is devoted to her and his ex-girlfriend who is now a sexy stewardess. These four that should never be together run into each other in an airplane. No one can run away and the most cheeky and erotic things happen here.",0.0,97.0,The in-flight service for Hong Kong starts now!  An erotic story that took place in the spacious blue sky!
471014.0,en,Wheelman,12.212,2017-10-20,6.1,472.0,"['Action', 'Crime', 'Thriller']",A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,0.0,82.0,Drive fast. Think faster.
378.0,en,Raising Arizona,15.987,1987-03-01,7.0,1506.0,"['Comedy', 'Crime']","When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",29180280.0,94.0,Their lawless years are behind them. Their child-rearing years lay ahead...
38780.0,en,Rampage,13.498,2009-08-14,6.0,305.0,"['Action', 'Drama', 'Crime', 'Thriller', 'Mystery']","The boredom of small town life is eating Bill Williamson alive. Feeling constrained and claustrophobic in the meaningless drudgery of everyday life and helpless against overwhelming global dissolution, Bill begins a descent into madness. His shockingly violent plan will shake the very foundations of society by painting the streets red with blood.",0.0,85.0,Vengeance is ruthless.
